,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
39,Arturo Vidal,Central Midfield,31,35000000,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,FC Barcelona,18000000,2018
40,Álvaro Odriozola,Right-Back,22,25000000,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Real Madrid,32000000,2018
41,Arthur Melo,Central Midfield,21,30000000,Brazil,Série A,Grêmio Foot-Ball Porto Alegrense,Spain,LaLiga,FC Barcelona,31000000,2018
42,Yerry Mina,Centre-Back,23,20000000,Spain,LaLiga,FC Barcelona,England,Premier League,Everton FC,30000000,2018
43,Fabián Ruiz,Central Midfield,22,20000000,Spain,LaLiga,Real Betis Balompié,Italy,Serie A,SSC Napoli,30000000,2018
44,Jean Michaël Seri,Central Midfield,26,30000000,France,Ligue 1,OGC Nice,England,Premier League,Fulham FC,30000000,2018
45,Aleksandr Golovin,Attacking Midfield,22,25000000,Russia,Premier Liga,CSKA Moscow,Monaco,Ligue 1,AS Monaco,30000000,2018
46,Lucas Torreira,Defensive Midfield,22,30000000,Italy,Serie A,UC Sampdoria,England,Premier League,Arsenal FC,28000000,2018
47,Steven Nzonzi,Defensive Midfield,29,30000000,Spain,LaLiga,Sevilla FC,Italy,Serie A,AS Roma,26000000,2018
48,Geoffrey Kondogbia,Defensive Midfield,25,30000000,Italy,Serie A,Inter Milan,Spain,LaLiga,Valencia CF,22000000,2018
49,Marek Hamsik,Central Midfield,31,30000000,Italy,Serie A,SSC Napoli,China,Super League,Dalian Yifang,20000000,2018
50,Keita Baldé,Centre-Forward,23,30000000,Monaco,Ligue 1,AS Monaco,Italy,Serie A,Inter Milan,5000000,2018
51,Giovani Lo Celso,Central Midfield,22,30000000,France,Ligue 1,Paris Saint-Germain,Spain,LaLiga,Real Betis Balompié,3000000,2018
52,Michy Batshuayi,Centre-Forward,25,30000000,England,Premier League,Chelsea FC,England,Premier League,Crystal Palace,1000000,2018
53,Emre Can,Defensive Midfield,24,30000000,England,Premier League,Liverpool FC,Italy,Serie A,Juventus FC,free transfer,2018
54,Mateo Kovacic,Central Midfield,24,30000000,Spain,LaLiga,Real Madrid,England,Premier League,Chelsea FC,loan transfer,2018
55,Anthony Modeste,Centre-Forward,30,16000000,Germany,2. Bundesliga,1. FC Köln,China,Super League,Tianjin Tianhai (-2019),29000000,2018
56,Abdou Diallo,Centre-Back,22,12000000,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,Borussia Dortmund,28000000,2018
57,Kevin Strootman,Central Midfield,28,28000000,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,25000000,2018
58,Mattia Caldara,Centre-Back,24,25000000,Italy,Serie A,Juventus FC,Italy,Serie A,AC Milan,37000000,2018
59,Bernd Leno,Goalkeeper,26,20000000,Germany,Bundesliga,Bayer 04 Leverkusen,England,Premier League,Arsenal FC,25000000,2018
60,Lautaro Martínez,Centre-Forward,20,25000000,Argentina,Superliga,Racing Club,Italy,Serie A,Inter Milan,25000000,2018
61,Jannik Vestergaard,Centre-Back,25,14000000,Germany,Bundesliga,Borussia Mönchengladbach,England,Premier League,Southampton FC,25000000,2018
62,Issa Diop,Centre-Back,21,22000000,France,Ligue 1,FC Toulouse,England,Premier League,West Ham United,25000000,2018
63,James Maddison,Attacking Midfield,21,10000000,England,Championship,Norwich City,England,Premier League,Leicester City,25000000,2018
64,Simone Verdi,Attacking Midfield,25,25000000,Italy,Serie A,Bologna FC 1909,Italy,Serie A,SSC Napoli,24000000,2018
65,Rodri,Defensive Midfield,22,25000000,Spain,LaLiga,Villarreal CF,Spain,LaLiga,Atlético de Madrid,20000000,2018
66,Talisca,Attacking Midfield,24,25000000,Portugal,Liga NOS,SL Benfica,China,Super League,Guangzhou Evergrande Taobao,19000000,2018
67,Paulinho,Left Winger,18,25000000,Brazil,Série A,Clube de Regatas Vasco da Gama,Germany,Bundesliga,Bayer 04 Leverkusen,18000000,2018
68,William Carvalho,Defensive Midfield,26,25000000,Portugal,Liga NOS,Sporting CP,Spain,LaLiga,Real Betis Balompié,16000000,2018
69,Bryan Cristante,Defensive Midfield,23,25000000,Portugal,Liga NOS,SL Benfica,Italy,Serie A,Atalanta BC,9000000,2018
70,Cesc Fàbregas,Central Midfield,31,25000000,England,Premier League,Chelsea FC,Monaco,Ligue 1,AS Monaco,9000000,2018
71,Tanguy Ndombélé,Central Midfield,21,25000000,France,Ligue 1,Amiens SC,France,Ligue 1,Olympique Lyon,8000000,2018
72,Sime Vrsaljko,Right-Back,26,25000000,Spain,LaLiga,Atlético de Madrid,Italy,Serie A,Inter Milan,6000000,2018
73,Bryan Cristante,Defensive Midfield,23,25000000,Italy,Serie A,Atalanta BC,Italy,Serie A,AS Roma,5000000,2018
74,Frank Anguissa,Central Midfield,22,18000000,France,Ligue 1,Olympique Marseille,England,Premier League,Fulham FC,24000000,2018
75,Javier Pastore,Attacking Midfield,29,15000000,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,AS Roma,24000000,2018
76,Aleksandar Mitrović,Centre-Forward,23,15000000,England,Premier League,Newcastle United,England,Premier League,Fulham FC,24000000,2018
77,Yuri Berchiche,Left-Back,28,17000000,France,Ligue 1,Paris Saint-Germain,Spain,LaLiga,Athletic Bilbao,24000000,2018
78,Miguel Almirón,Right Winger,24,15000000,United States,MLS,Atlanta United FC,England,Premier League,Newcastle United,24000000,2018
79,Quincy Promes,Left Winger,26,24000000,Russia,Premier Liga,Spartak Moscow,Spain,LaLiga,Sevilla FC,21000000,2018
80,Alassane Plea,Left Winger,25,18000000,France,Ligue 1,OGC Nice,Germany,Bundesliga,Borussia Mönchengladbach,23000000,2018
81,Andriy Yarmolenko,Right Winger,28,23000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,West Ham United,20000000,2018
82,Nikola Kalinic,Centre-Forward,30,14000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,AC Milan,22000000,2018
83,Ricardo Pereira,Right-Back,24,20000000,Portugal,Liga NOS,FC Porto,England,Premier League,Leicester City,22000000,2018
84,Diogo Dalot,Right-Back,19,15000000,Portugal,Liga NOS,FC Porto,England,Premier League,Manchester United,22000000,2018
85,Moussa Dembélé,Centre-Forward,22,7000000,Scotland,Premiership,Celtic FC,France,Ligue 1,Olympique Lyon,22000000,2018
86,Mariano Díaz,Centre-Forward,25,22000000,France,Ligue 1,Olympique Lyon,Spain,LaLiga,Real Madrid,21000000,2018
87,Talisca,Attacking Midfield,24,22000000,Portugal,Liga NOS,SL Benfica,China,Super League,Guangzhou Evergrande Taobao,5000000,2018
88,Matteo Politano,Right Winger,24,22000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Inter Milan,5000000,2018
89,André Silva,Centre-Forward,22,22000000,Italy,Serie A,AC Milan,Spain,LaLiga,Sevilla FC,3000000,2018
90,Simone Zaza,Centre-Forward,27,22000000,Spain,LaLiga,Valencia CF,Italy,Serie A,Torino FC,2000000,2018
91,Samu Castillejo,Right Winger,23,15000000,Spain,LaLiga,Villarreal CF,Italy,Serie A,AC Milan,21000000,2018
92,Dominic Solanke,Centre-Forward,21,10000000,England,Premier League,Liverpool FC,England,Premier League,AFC Bournemouth,21000000,2018
93,Caglar Söyüncü,Centre-Back,22,18000000,Germany,Bundesliga,SC Freiburg,England,Premier League,Leicester City,21000000,2018
94,Jonny Otto,Left-Back,24,12000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Wolverhampton Wanderers,21000000,2018
95,Lucas Digne,Left-Back,25,15000000,Spain,LaLiga,FC Barcelona,England,Premier League,Everton FC,20000000,2018
96,Thomas Delaney,Central Midfield,26,12000000,Germany,Bundesliga,SV Werder Bremen,Germany,Bundesliga,Borussia Dortmund,20000000,2018
97,Terence Kongolo,Centre-Back,24,10000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Huddersfield Town,20000000,2018
98,Gerard Moreno,Centre-Forward,26,20000000,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Villarreal CF,20000000,2018
99,Willem Geubbels,Left Winger,16,6000000,France,Ligue 1,Olympique Lyon,Monaco,Ligue 1,AS Monaco,20000000,2018
100,Rolando Mandragora,Defensive Midfield,21,10000000,Italy,Serie A,Juventus FC,Italy,Serie A,Udinese Calcio,20000000,2018
101,Axel Witsel,Defensive Midfield,29,20000000,China,Super League,Tianjin Tianhai (-2019),Germany,Bundesliga,Borussia Dortmund,20000000,2018
102,Adama Traoré,Right Winger,22,8000000,England,Championship,Middlesbrough FC,England,Premier League,Wolverhampton Wanderers,20000000,2018
103,Benjamin Henrichs,Right-Back,21,12000000,Germany,Bundesliga,Bayer 04 Leverkusen,Monaco,Ligue 1,AS Monaco,20000000,2018
104,Amadou Haidara,Central Midfield,20,20000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,RB Leipzig,19000000,2018
105,Duván Zapata,Centre-Forward,27,20000000,Italy,Serie A,SSC Napoli,Italy,Serie A,UC Sampdoria,18000000,2018
106,Sokratis Papastathopoulos,Centre-Back,30,20000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Arsenal FC,16000000,2018
107,Kévin Gameiro,Centre-Forward,31,20000000,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Valencia CF,16000000,2018
108,Pity Martínez,Attacking Midfield,25,20000000,Argentina,Superliga,CA River Plate,United States,MLS,Atlanta United FC,14000000,2018
109,Duván Zapata,Centre-Forward,27,20000000,Italy,Serie A,UC Sampdoria,Italy,Serie A,Atalanta BC,14000000,2018
110,Jack Wilshere,Central Midfield,26,20000000,England,Premier League,Arsenal FC,England,Premier League,West Ham United,free transfer,2018
111,Mario Balotelli,Centre-Forward,28,20000000,France,Ligue 1,OGC Nice,France,Ligue 1,Olympique Marseille,free transfer,2018
112,Gelson Martins,Right Winger,23,20000000,Spain,LaLiga,Atlético de Madrid,Monaco,Ligue 1,AS Monaco,loan transfer,2018
113,Duje Caleta-Car,Centre-Back,21,10000000,Austria,Bundesliga,Red Bull Salzburg,France,Ligue 1,Olympique Marseille,19000000,2018
114,Alireza Jahanbakhsh,Right Winger,24,18000000,Netherlands,Eredivisie,AZ Alkmaar,England,Premier League,Brighton & Hove Albion,19000000,2018
115,Diego Laxalt,Left-Back,25,18000000,Italy,Serie A,Genoa CFC,Italy,Serie A,AC Milan,19000000,2018
116,Karl Toko Ekambi,Left Winger,25,18000000,France,Ligue 1,Angers SCO,Spain,LaLiga,Villarreal CF,18000000,2018
117,Rui Patrício,Goalkeeper,30,16000000,Portugal,Liga NOS,Sporting CP,England,Premier League,Wolverhampton Wanderers,18000000,2018
118,Mohamed Elyounoussi,Left Winger,23,8000000,Switzerland,Super League,FC Basel 1893,England,Premier League,Southampton FC,18000000,2018
119,Daley Blind,Left-Back,28,18000000,England,Premier League,Manchester United,Netherlands,Eredivisie,Ajax Amsterdam,16000000,2018
120,Xherdan Shaqiri,Attacking Midfield,26,18000000,England,Championship,Stoke City,England,Premier League,Liverpool FC,14000000,2018
121,Santiago Arias,Right-Back,26,18000000,Netherlands,Eredivisie,PSV Eindhoven,Spain,LaLiga,Atlético de Madrid,11000000,2018
122,Alban Lafont,Goalkeeper,19,18000000,France,Ligue 1,FC Toulouse,Italy,Serie A,ACF Fiorentina,8000000,2018
123,Salif Sané,Centre-Back,27,18000000,Germany,Bundesliga,Hannover 96,Germany,Bundesliga,FC Schalke 04,7000000,2018
124,Mousa Dembélé,Central Midfield,31,18000000,England,Premier League,Tottenham Hotspur,China,Super League,Guangzhou R&F,5000000,2018
125,Grzegorz Krychowiak,Defensive Midfield,28,18000000,France,Ligue 1,Paris Saint-Germain,Russia,Premier Liga,Lokomotiv Moscow,1000000,2018
126,Islam Slimani,Centre-Forward,30,18000000,England,Premier League,Leicester City,Turkey,Süper Lig,Fenerbahce,1000000,2018
127,Mark Uth,Centre-Forward,26,18000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,FC Schalke 04,free transfer,2018
128,Max Meyer,Attacking Midfield,22,18000000,Germany,Bundesliga,FC Schalke 04,England,Premier League,Crystal Palace,free transfer,2018
129,Yannick Bolasie,Left Winger,29,18000000,England,Premier League,Everton FC,England,Championship,Aston Villa,loan transfer,2018
130,Victor Moses,Right Midfield,28,18000000,England,Premier League,Chelsea FC,Turkey,Süper Lig,Fenerbahce,loan transfer,2018
131,Youri Tielemans,Central Midfield,21,18000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Leicester City,loan transfer,2018
132,Joaquín Correa,Second Striker,23,10000000,Spain,LaLiga,Sevilla FC,Italy,Serie A,SS Lazio,17000000,2018
133,Justin Kluivert,Left Winger,19,15000000,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,AS Roma,17000000,2018
134,Brahim Díaz,Attacking Midfield,19,5000000,England,Premier League,Manchester City,Spain,LaLiga,Real Madrid,17000000,2018
135,Leander Dendoncker,Defensive Midfield,23,17000000,Belgium,Jupiler Pro League,RSC Anderlecht,England,Premier League,Wolverhampton Wanderers,1000000,2018
136,Ben Gibson,Centre-Back,25,10000000,England,Championship,Middlesbrough FC,England,Premier League,Burnley FC,16000000,2018
137,Alfie Mawson,Centre-Back,24,15000000,Wales,Championship,Swansea City,England,Premier League,Fulham FC,16000000,2018
138,Yves Bissouma,Central Midfield,21,8000000,France,Ligue 1,LOSC Lille,England,Premier League,Brighton & Hove Albion,16000000,2018
139,Ahmed Musa,Right Winger,25,15000000,England,Premier League,Leicester City,Saudi Arabia,Saudi Pro League,Al-Nassr FC,16000000,2018
140,Nordi Mukiele,Right-Back,20,14000000,France,Ligue 1,Montpellier HSC,Germany,Bundesliga,RB Leipzig,16000000,2018
141,Sebastian Rudy,Defensive Midfield,28,15000000,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,FC Schalke 04,16000000,2018
142,Mattia Perin,Goalkeeper,25,16000000,Italy,Serie A,Genoa CFC,Italy,Serie A,Juventus FC,14000000,2018
143,Jordan Amavi,Left-Back,24,16000000,England,Championship,Aston Villa,France,Ligue 1,Olympique Marseille,10000000,2018
144,Emiliano Sala,Centre-Forward,†28,16000000,France,Ligue 1,FC Nantes,Wales,Premier League,Cardiff City,6000000,2018
145,Bernard,Attacking Midfield,25,16000000,Ukraine,Premier Liga,Shakhtar Donetsk,England,Premier League,Everton FC,free transfer,2018
146,Leonardo Balerdi,Centre-Back,19,2000000,Argentina,Superliga,CA Boca Juniors,Germany,Bundesliga,Borussia Dortmund,15000000,2018
147,Grégoire Defrel,Centre-Forward,27,10000000,Italy,Serie A,US Sassuolo,Italy,Serie A,AS Roma,15000000,2018
148,João Carvalho,Attacking Midfield,21,2000000,Portugal,Liga NOS,SL Benfica,England,Championship,Nottingham Forest,15000000,2018
149,Matheus Cunha,Centre-Forward,19,1000000,Switzerland,Super League,FC Sion,Germany,Bundesliga,RB Leipzig,15000000,2018
150,Mouctar Diakhaby,Centre-Back,21,10000000,France,Ligue 1,Olympique Lyon,Spain,LaLiga,Valencia CF,15000000,2018
151,Diego Rico,Left-Back,25,2000000,Spain,LaLiga,CD Leganés,England,Premier League,AFC Bournemouth,15000000,2018
152,Wilmar Barrios,Defensive Midfield,25,12000000,Argentina,Superliga,CA Boca Juniors,Russia,Premier Liga,Zenit St. Petersburg,15000000,2018
153,Tetê,Right Winger,19,-,Brazil,Série A,Grêmio Foot-Ball Porto Alegrense,Ukraine,Premier Liga,Shakhtar Donetsk,15000000,2018
154,Dusan Tadić,Left Winger,29,15000000,England,Premier League,Southampton FC,Netherlands,Eredivisie,Ajax Amsterdam,13000000,2018
155,Joris Gnagnon,Centre-Back,21,15000000,France,Ligue 1,Stade Rennais FC,Spain,LaLiga,Sevilla FC,13000000,2018
156,Davy Klaassen,Attacking Midfield,25,15000000,England,Premier League,Everton FC,Germany,Bundesliga,SV Werder Bremen,13000000,2018
157,Jeison Murillo,Centre-Back,26,15000000,Italy,Serie A,Inter Milan,Spain,LaLiga,Valencia CF,12000000,2018
158,Nacer Chadli,Left Winger,29,15000000,England,Championship,West Bromwich Albion,Monaco,Ligue 1,AS Monaco,12000000,2018
159,Medhi Benatia,Centre-Back,31,15000000,Italy,Serie A,Juventus FC,Qatar,Stars League,Al-Duhail SC,8000000,2018
160,Kurt Zouma,Centre-Back,23,15000000,England,Premier League,Chelsea FC,England,Premier League,Everton FC,7000000,2018
161,Marouane Fellaini,Central Midfield,31,15000000,England,Premier League,Manchester United,China,Super League,Shandong Luneng Taishan,7000000,2018
162,Daniel Wass,Right-Back,29,15000000,Spain,LaLiga,Celta de Vigo,Spain,LaLiga,Valencia CF,6000000,2018
163,Jonny Evans,Centre-Back,30,15000000,England,Championship,West Bromwich Albion,England,Premier League,Leicester City,4000000,2018
164,Raúl Jiménez,Centre-Forward,27,15000000,Portugal,Liga NOS,SL Benfica,England,Premier League,Wolverhampton Wanderers,3000000,2018
165,André Gomes,Central Midfield,25,15000000,Spain,LaLiga,FC Barcelona,England,Premier League,Everton FC,2000000,2018
166,Paco Alcácer,Centre-Forward,24,15000000,Spain,LaLiga,FC Barcelona,Germany,Bundesliga,Borussia Dortmund,2000000,2018
167,André Ayew,Left Winger,28,15000000,Wales,Championship,Swansea City,Turkey,Süper Lig,Fenerbahce,1000000,2018
168,Jeison Murillo,Centre-Back,26,15000000,Spain,LaLiga,Valencia CF,Spain,LaLiga,FC Barcelona,1000000,2018
169,Marko Pjaca,Left Winger,23,15000000,Italy,Serie A,Juventus FC,Italy,Serie A,ACF Fiorentina,1000000,2018
170,Badou Ndiaye,Central Midfield,27,15000000,England,Championship,Stoke City,Turkey,Süper Lig,Galatasaray,750k,2018
171,Cédric Soares,Right-Back,27,15000000,England,Premier League,Southampton FC,Italy,Serie A,Inter Milan,500k,2018
172,André Schürrle,Left Winger,27,15000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Fulham FC,400k,2018
173,Jakub Jankto,Left Midfield,22,15000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,UC Sampdoria,loan transfer,2018
174,Guido Carrillo,Centre-Forward,27,15000000,England,Premier League,Southampton FC,Spain,LaLiga,CD Leganés,loan transfer,2018
175,Milan Badelj,Defensive Midfield,29,15000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,SS Lazio,free transfer,2018
176,Theo Hernández,Left-Back,20,15000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,Real Sociedad,loan transfer,2018
177,Nathaniel Clyne,Right-Back,27,15000000,England,Premier League,Liverpool FC,England,Premier League,AFC Bournemouth,loan transfer,2018
178,Ricardo Goulart,Attacking Midfield,27,15000000,China,Super League,Guangzhou Evergrande Taobao,Brazil,Série A,Sociedade Esportiva Palmeiras,loan transfer,2018
179,Wesley Hoedt,Centre-Back,24,15000000,England,Premier League,Southampton FC,Spain,LaLiga,Celta de Vigo,loan transfer,2018
180,Adrien Silva,Central Midfield,29,15000000,England,Premier League,Leicester City,Monaco,Ligue 1,AS Monaco,loan transfer,2018
181,Yannick Bolasie,Left Winger,29,15000000,England,Premier League,Everton FC,Belgium,Jupiler Pro League,RSC Anderlecht,loan transfer,2018
182,Roger Martínez,Left Winger,24,2000000,China,Super League,Jiangsu Suning,Spain,LaLiga,Villarreal CF,14000000,2018
183,Rodolfo Pizarro,Attacking Midfield,24,5000000,Mexico,Liga MX Clausura,Deportivo Guadalajara,Mexico,Liga MX Clausura,CF Monterrey,14000000,2018
184,Filip Benkovic,Centre-Back,21,11000000,Croatia,SuperSport HNL,GNK Dinamo Zagreb,England,Premier League,Leicester City,14000000,2018
185,Nikola Kalinic,Centre-Forward,30,14000000,Italy,Serie A,AC Milan,Spain,LaLiga,Atlético de Madrid,14000000,2018
186,Ibrahim Amadou,Defensive Midfield,25,3000000,France,Ligue 1,LOSC Lille,Spain,LaLiga,Sevilla FC,14000000,2018
187,Diogo Jota,Left Winger,21,12000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Wolverhampton Wanderers,14000000,2018
188,Danny Ward,Goalkeeper,25,2000000,England,Premier League,Liverpool FC,England,Premier League,Leicester City,14000000,2018
189,Jean-Eudes Aholou,Defensive Midfield,24,3000000,France,Ligue 1,RC Strasbourg Alsace,Monaco,Ligue 1,AS Monaco,14000000,2018
190,Alphonso Davies,Left-Back,18,10000000,Canada,MLS,Vancouver Whitecaps FC,Germany,Bundesliga,Bayern Munich,14000000,2018
191,Rachid Ghezzal,Right Winger,26,4000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Leicester City,14000000,2018
192,Diego Lainez,Right Winger,18,1000000,Mexico,Liga MX Clausura,CF América,Spain,LaLiga,Real Betis Balompié,14000000,2018
193,Maximiliano Meza,Right Winger,26,14000000,Argentina,Superliga,CA Independiente,Mexico,Liga MX Clausura,CF Monterrey,13000000,2018
194,Gerard Deulofeu,Centre-Forward,24,14000000,Spain,LaLiga,FC Barcelona,England,Premier League,Watford FC,13000000,2018
195,Fedor Smolov,Centre-Forward,28,14000000,Russia,Premier Liga,FK Krasnodar,Russia,Premier Liga,Lokomotiv Moscow,9000000,2018
196,Kwadwo Asamoah,Left Midfield,29,14000000,Italy,Serie A,Juventus FC,Italy,Serie A,Inter Milan,free transfer,2018
197,Calum Chambers,Centre-Back,23,14000000,England,Premier League,Arsenal FC,England,Premier League,Fulham FC,loan transfer,2018
198,Chris Mepham,Centre-Back,21,8000000,England,Championship,Brentford FC,England,Premier League,AFC Bournemouth,13000000,2018
199,Benik Afobe,Centre-Forward,25,10000000,England,Premier League,Wolverhampton Wanderers,England,Championship,Stoke City,13000000,2018
200,Mbaye Diagne,Centre-Forward,27,5000000,Turkey,Süper Lig,Kasimpasa,Turkey,Süper Lig,Galatasaray,13000000,2018
201,Germán Pezzella,Centre-Back,27,13000000,Spain,LaLiga,Real Betis Balompié,Italy,Serie A,ACF Fiorentina,9000000,2018
202,Salomón Rondón,Centre-Forward,28,13000000,England,Championship,West Bromwich Albion,England,Premier League,Newcastle United,2000000,2018
203,Adem Ljajić,Attacking Midfield,26,13000000,Italy,Serie A,Torino FC,Turkey,Süper Lig,Besiktas JK,1000000,2018
204,Matej Vydra,Centre-Forward,26,8000000,England,Championship,Derby County,England,Premier League,Burnley FC,12000000,2018
205,M'Baye Niang,Centre-Forward,23,10000000,Italy,Serie A,AC Milan,Italy,Serie A,Torino FC,12000000,2018
206,Mitchell Weiser,Right-Back,24,12000000,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,Bayer 04 Leverkusen,12000000,2018
