,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
35,Manuel Locatelli,Defensive Midfield,23,35000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Juventus FC,loan transfer,2021
36,Robin Gosens,Left Midfield,27,35000000,Italy,Serie A,Atalanta BC,Italy,Serie A,Inter Milan,loan transfer,2021
37,Anthony Martial,Centre-Forward,26,32000000,England,Premier League,Manchester United,Spain,LaLiga,Sevilla FC,loan transfer,2021
38,Fikayo Tomori,Centre-Back,23,28000000,England,Premier League,Chelsea FC,Italy,Serie A,AC Milan,31000000,2021
39,Patson Daka,Centre-Forward,22,22000000,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leicester City,30000000,2021
40,Donyell Malen,Left Winger,22,30000000,Netherlands,Eredivisie,PSV Eindhoven,Germany,Bundesliga,Borussia Dortmund,30000000,2021
41,Matheus Cunha,Centre-Forward,22,30000000,Germany,Bundesliga,Hertha BSC,Spain,LaLiga,Atlético de Madrid,30000000,2021
42,Nikola Vlasic,Attacking Midfield,23,30000000,Russia,Premier Liga,CSKA Moscow,England,Premier League,West Ham United,30000000,2021
43,Chris Wood,Centre-Forward,30,6000000,England,Premier League,Burnley FC,England,Premier League,Newcastle United,30000000,2021
44,Lucas Digne,Left-Back,28,30000000,England,Premier League,Everton FC,England,Premier League,Aston Villa,30000000,2021
45,Bryan Gil,Left Winger,20,30000000,Spain,LaLiga,Sevilla FC,England,Premier League,Tottenham Hotspur,25000000,2021
46,Matteo Politano,Right Winger,27,30000000,Italy,Serie A,Inter Milan,Italy,Serie A,SSC Napoli,21000000,2021
47,Dejan Kulusevski,Right Winger,21,30000000,Italy,Serie A,Juventus FC,England,Premier League,Tottenham Hotspur,10000000,2021
48,Joaquín Correa,Second Striker,27,30000000,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,6000000,2021
49,Georginio Wijnaldum,Central Midfield,30,30000000,England,Premier League,Liverpool FC,France,Ligue 1,Paris Saint-Germain,free transfer,2021
50,Danny Ings,Centre-Forward,29,22000000,England,Premier League,Southampton FC,England,Premier League,Aston Villa,29000000,2021
51,Joe Willock,Central Midfield,21,16000000,England,Premier League,Arsenal FC,England,Premier League,Newcastle United,29000000,2021
52,Daniel James,Right Winger,23,18000000,England,Premier League,Manchester United,England,Premier League,Leeds United,29000000,2021
53,Aaron Ramsdale,Goalkeeper,23,12000000,England,Championship,Sheffield United,England,Premier League,Arsenal FC,28000000,2021
54,Boubakary Soumaré,Defensive Midfield,22,28000000,France,Ligue 1,LOSC Lille,England,Premier League,Leicester City,20000000,2021
55,James Rodríguez,Attacking Midfield,30,28000000,England,Premier League,Everton FC,Qatar,Stars League,Al-Rayyan SC,8000000,2021
56,Bryan Gil,Left Winger,20,28000000,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Valencia CF,500k,2021
57,Merih Demiral,Centre-Back,23,28000000,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,loan transfer,2021
58,Adama Traoré,Right Winger,26,28000000,England,Premier League,Wolverhampton Wanderers,Spain,LaLiga,FC Barcelona,loan transfer,2021
59,Sandro Tonali,Defensive Midfield,21,27000000,Italy,Serie B,Brescia Calcio,Italy,Serie A,AC Milan,14000000,2021
60,Denis Zakaria,Defensive Midfield,25,27000000,Germany,Bundesliga,Borussia Mönchengladbach,Italy,Serie A,Juventus FC,10000000,2021
61,Marash Kumbulla,Centre-Back,21,25000000,Italy,Serie A,Hellas Verona,Italy,Serie A,AS Roma,26000000,2021
62,Emerson Royal,Right-Back,22,25000000,Spain,LaLiga,FC Barcelona,England,Premier League,Tottenham Hotspur,25000000,2021
63,Yuri Alberto,Centre-Forward,20,12000000,Brazil,Série A,Sport Club Internacional,Russia,Premier Liga,Zenit St. Petersburg,25000000,2021
64,Weston McKennie,Central Midfield,22,25000000,Germany,2. Bundesliga,FC Schalke 04,Italy,Serie A,Juventus FC,20000000,2021
65,Rodrigo Bentancur,Central Midfield,24,25000000,Italy,Serie A,Juventus FC,England,Premier League,Tottenham Hotspur,19000000,2021
66,Ilaix Moriba,Central Midfield,18,25000000,Spain,Primera Federación - Gr. II,FC Barcelona B,Germany,Bundesliga,RB Leipzig,16000000,2021
67,Mike Maignan,Goalkeeper,25,25000000,France,Ligue 1,LOSC Lille,Italy,Serie A,AC Milan,15000000,2021
68,Emerson Royal,Right-Back,22,25000000,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga,FC Barcelona,14000000,2021
69,Roger Ibañez,Centre-Back,22,25000000,Italy,Serie A,Atalanta BC,Italy,Serie A,AS Roma,9000000,2021
70,Ozan Kabak,Centre-Back,21,25000000,Germany,2. Bundesliga,FC Schalke 04,England,Premier League,Norwich City,3000000,2021
71,Sardar Azmoun,Centre-Forward,27,25000000,Russia,Premier Liga,Zenit St. Petersburg,Germany,Bundesliga,Bayer 04 Leverkusen,2000000,2021
72,Pablo Sarabia,Right Winger,29,25000000,France,Ligue 1,Paris Saint-Germain,Portugal,Liga Bwin,Sporting CP,2000000,2021
73,Frank Anguissa,Central Midfield,25,25000000,England,Championship,Fulham FC,Italy,Serie A,SSC Napoli,600k,2021
74,Héctor Bellerín,Right-Back,26,25000000,England,Premier League,Arsenal FC,Spain,LaLiga,Real Betis Balompié,loan transfer,2021
75,Donny van de Beek,Central Midfield,24,25000000,England,Premier League,Manchester United,England,Premier League,Everton FC,loan transfer,2021
76,Dele Alli,Attacking Midfield,25,25000000,England,Premier League,Tottenham Hotspur,England,Premier League,Everton FC,free transfer,2021
77,Arnaut Danjuma,Left Winger,24,15000000,England,Championship,AFC Bournemouth,Spain,LaLiga,Villarreal CF,23000000,2021
78,Vitaliy Mykolenko,Left-Back,22,17000000,Ukraine,Premier Liga,Dynamo Kyiv,England,Premier League,Everton FC,23000000,2021
79,Marc Guéhi,Centre-Back,21,10000000,England,Premier League 2,Chelsea FC U23,England,Premier League,Crystal Palace,23000000,2021
80,Enock Mwepu,Central Midfield,23,13000000,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Brighton & Hove Albion,23000000,2021
81,Odilon Kossounou,Centre-Back,20,13000000,Belgium,Jupiler Pro League,Club Brugge KV,Germany,Bundesliga,Bayer 04 Leverkusen,23000000,2021
82,Nicolás González,Left Winger,23,22000000,Germany,Bundesliga,VfB Stuttgart,Italy,Serie A,ACF Fiorentina,24000000,2021
83,Joachim Andersen,Centre-Back,25,22000000,France,Ligue 1,Olympique Lyon,England,Premier League,Crystal Palace,17000000,2021
84,Jonathan Ikoné,Right Winger,23,22000000,France,Ligue 1,LOSC Lille,Italy,Serie A,ACF Fiorentina,14000000,2021
85,Noa Lang,Left Winger,22,22000000,Netherlands,Eredivisie,Ajax Amsterdam,Belgium,Jupiler Pro League,Club Brugge KV,6000000,2021
86,Trincão,Right Winger,21,22000000,Spain,LaLiga,FC Barcelona,England,Premier League,Wolverhampton Wanderers,6000000,2021
87,Tecatito,Right Winger,29,22000000,Portugal,Liga Bwin,FC Porto,Spain,LaLiga,Sevilla FC,3000000,2021
88,Giovani Lo Celso,Central Midfield,25,22000000,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Villarreal CF,loan transfer,2021
89,Julián Álvarez,Centre-Forward,22,20000000,Argentina,Liga Profesional,CA River Plate,England,Premier League,Manchester City,21000000,2021
90,Gerson,Central Midfield,24,20000000,Brazil,Série A,CR Flamengo,France,Ligue 1,Olympique Marseille,20000000,2021
91,Juan Musso,Goalkeeper,27,20000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,Atalanta BC,20000000,2021
92,Jhon Córdoba,Centre-Forward,28,15000000,Germany,Bundesliga,Hertha BSC,Russia,Premier Liga,FK Krasnodar,20000000,2021
93,Takehiro Tomiyasu,Right-Back,22,20000000,Italy,Serie A,Bologna FC 1909,England,Premier League,Arsenal FC,18000000,2021
94,Marc Cucurella,Left-Back,23,20000000,Spain,LaLiga,Getafe CF,England,Premier League,Brighton & Hove Albion,18000000,2021
95,Wout Weghorst,Centre-Forward,29,20000000,Germany,Bundesliga,VfL Wolfsburg,England,Premier League,Burnley FC,17000000,2021
96,Hamed Junior Traorè,Attacking Midfield,21,20000000,Italy,Serie A,FC Empoli,Italy,Serie A,US Sassuolo,16000000,2021
97,Danilo Pereira,Defensive Midfield,29,20000000,Portugal,Liga Bwin,FC Porto,France,Ligue 1,Paris Saint-Germain,16000000,2021
98,Thiago Almada,Attacking Midfield,20,20000000,Argentina,Liga Profesional,CA Vélez Sarsfield,United States,MLS,Atlanta United FC,14000000,2021
99,Musa Barrow,Left Winger,22,20000000,Italy,Serie A,Atalanta BC,Italy,Serie A,Bologna FC 1909,14000000,2021
100,David Neres,Right Winger,24,20000000,Netherlands,Eredivisie,Ajax Amsterdam,Ukraine,Premier Liga,Shakhtar Donetsk,12000000,2021
101,Tiemoué Bakayoko,Defensive Midfield,27,20000000,England,Premier League,Chelsea FC,Italy,Serie A,AC Milan,3000000,2021
102,Lucas Torreira,Defensive Midfield,25,20000000,England,Premier League,Arsenal FC,Italy,Serie A,ACF Fiorentina,1000000,2021
103,Eric García,Centre-Back,20,20000000,England,Premier League,Manchester City,Spain,LaLiga,FC Barcelona,free transfer,2021
104,Mattéo Guendouzi,Central Midfield,22,20000000,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,loan transfer,2021
105,Miralem Pjanic,Central Midfield,31,20000000,Spain,LaLiga,FC Barcelona,Turkey,Süper Lig,Besiktas JK,loan transfer,2021
106,Jérémie Boga,Left Winger,25,20000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Atalanta BC,loan transfer,2021
107,Ilaix Moriba,Central Midfield,19,20000000,Germany,Bundesliga,RB Leipzig,Spain,LaLiga,Valencia CF,loan transfer,2021
108,Julián Álvarez,Centre-Forward,22,20000000,England,Premier League,Manchester City,Argentina,Liga Profesional,CA River Plate,loan transfer,2021
109,Todd Cantwell,Left Midfield,23,20000000,England,Premier League,Norwich City,England,Championship,AFC Bournemouth,loan transfer,2021
110,Josko Gvardiol,Centre-Back,19,19000000,Croatia,1. HNL,GNK Dinamo Zagreb,Germany,Bundesliga,RB Leipzig,18000000,2021
111,Pedrinho,Right Winger,23,15000000,Portugal,Liga Bwin,SL Benfica,Ukraine,Premier Liga,Shakhtar Donetsk,18000000,2021
112,Eldor Shomurodov,Centre-Forward,26,7000000,Italy,Serie A,Genoa CFC,Italy,Serie A,AS Roma,18000000,2021
113,Matheus Pereira,Attacking Midfield,25,15000000,England,Championship,West Bromwich Albion,Saudi Arabia,Saudi Pro League,Al-Hilal Saudi FC,18000000,2021
114,Adam Armstrong,Centre-Forward,24,18000000,England,Championship,Blackburn Rovers,England,Premier League,Southampton FC,17000000,2021
115,Jannik Vestergaard,Centre-Back,29,18000000,England,Premier League,Southampton FC,England,Premier League,Leicester City,17000000,2021
116,Mohamed Simakan,Centre-Back,21,18000000,France,Ligue 1,RC Strasbourg Alsace,Germany,Bundesliga,RB Leipzig,15000000,2021
117,Kieran Trippier,Right-Back,31,18000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Newcastle United,14000000,2021
118,Rayan Aït-Nouri,Left-Back,20,18000000,France,Ligue 1,Angers SCO,England,Premier League,Wolverhampton Wanderers,11000000,2021
119,Carlos Vinícius,Centre-Forward,26,18000000,Portugal,Liga Bwin,SL Benfica,Netherlands,Eredivisie,PSV Eindhoven,2000000,2021
120,Dennis Praet,Central Midfield,27,18000000,England,Premier League,Leicester City,Italy,Serie A,Torino FC,1000000,2021
121,Cengiz Ünder,Right Winger,23,18000000,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,500k,2021
122,Sergio Agüero,Centre-Forward,33,18000000,England,Premier League,Manchester City,Spain,LaLiga,FC Barcelona,free transfer,2021
123,William Saliba,Centre-Back,20,18000000,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,loan transfer,2021
124,Willian José,Centre-Forward,29,18000000,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Real Betis Balompié,loan transfer,2021
125,Yangel Herrera,Central Midfield,23,18000000,England,Premier League,Manchester City,Spain,LaLiga,RCD Espanyol Barcelona,loan transfer,2021
126,Diego Rossi,Left Winger,23,18000000,United States,MLS,Los Angeles FC,Turkey,Süper Lig,Fenerbahce,loan transfer,2021
127,Philippe Coutinho,Left Winger,29,18000000,Spain,LaLiga,FC Barcelona,England,Premier League,Aston Villa,loan transfer,2021
128,Amad Diallo,Right Winger,19,18000000,England,Premier League,Manchester United,Scotland,Premiership,Rangers FC,loan transfer,2021
129,Albert Sambi Lokonga,Central Midfield,21,12000000,Belgium,Jupiler Pro League,RSC Anderlecht,England,Premier League,Arsenal FC,17000000,2021
130,Roman Yaremchuk,Centre-Forward,25,17000000,Belgium,Jupiler Pro League,KAA Gent,Portugal,Liga Bwin,SL Benfica,17000000,2021
131,Loïc Badé,Centre-Back,21,12000000,France,Ligue 1,RC Lens,France,Ligue 1,Stade Rennais FC,17000000,2021
132,Kamaldeen Sulemana,Left Winger,19,9000000,Denmark,Superligaen Relegation round,FC Nordsjaelland,France,Ligue 1,Stade Rennais FC,17000000,2021
133,Myron Boadu,Centre-Forward,20,14000000,Netherlands,Eredivisie,AZ Alkmaar,Monaco,Ligue 1,AS Monaco,17000000,2021
134,Odsonne Edouard,Centre-Forward,23,17000000,Scotland,Premiership,Celtic FC,England,Premier League,Crystal Palace,16000000,2021
135,Harry Wilson,Right Winger,24,17000000,England,Premier League,Liverpool FC,England,Championship,Fulham FC,14000000,2021
136,Gonzalo Montiel,Right-Back,24,17000000,Argentina,Liga Profesional,CA River Plate,Spain,LaLiga,Sevilla FC,11000000,2021
137,Alphonse Areola,Goalkeeper,28,17000000,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,2000000,2021
138,Florian Thauvin,Right Winger,28,17000000,France,Ligue 1,Olympique Marseille,Mexico,Liga MX Clausura,Tigres UANL,free transfer,2021
139,Rafael Borré,Centre-Forward,25,17000000,Argentina,Liga Profesional,CA River Plate,Germany,Bundesliga,Eintracht Frankfurt,free transfer,2021
140,Pierluigi Gollini,Goalkeeper,26,17000000,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,loan transfer,2021
141,Matt Targett,Left-Back,26,17000000,England,Premier League,Aston Villa,England,Premier League,Newcastle United,loan transfer,2021
142,Pape Matar Sarr,Central Midfield,18,10000000,France,Ligue 1,FC Metz,England,Premier League,Tottenham Hotspur,16000000,2021
143,Teun Koopmeiners,Defensive Midfield,23,16000000,Netherlands,Eredivisie,AZ Alkmaar,Italy,Serie A,Atalanta BC,14000000,2021
144,Ricardo Pepi,Centre-Forward,18,8000000,United States,MLS,FC Dallas,Germany,Bundesliga,FC Augsburg,16000000,2021
145,Rafa Mir,Centre-Forward,24,12000000,England,Premier League,Wolverhampton Wanderers,Spain,LaLiga,Sevilla FC,16000000,2021
146,Denzel Dumfries,Right Midfield,25,16000000,Netherlands,Eredivisie,PSV Eindhoven,Italy,Serie A,Inter Milan,14000000,2021
147,Andy Delort,Centre-Forward,29,16000000,France,Ligue 1,Montpellier HSC,France,Ligue 1,OGC Nice,10000000,2021
148,Khvicha Kvaratskhelia,Left Winger,21,16000000,Russia,Premier Liga,Rubin Kazan,Georgia,Crystalbet Erovnuli Liga,Dinamo Batumi,8000000,2021
149,Patrick de Paula,Central Midfield,22,16000000,Brazil,Série A,Sociedade Esportiva Palmeiras,Brazil,Série A,Botafogo de Futebol e Regatas,6000000,2021
150,Alexander Sörloth,Centre-Forward,25,16000000,Germany,Bundesliga,RB Leipzig,Spain,LaLiga,Real Sociedad,2000000,2021
151,Erik Lamela,Right Winger,29,16000000,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Sevilla FC,free transfer,2021
152,Kristoffer Ajer,Centre-Back,23,7000000,Scotland,Premiership,Celtic FC,England,Premier League,Brentford FC,15000000,2021
153,Pepê,Left Winger,24,13000000,Brazil,Série A,Grêmio Foot-Ball Porto Alegrense,Portugal,Liga Bwin,FC Porto,15000000,2021
154,Arthur Cabral,Centre-Forward,23,15000000,Switzerland,Super League,FC Basel 1893,Italy,Serie A,ACF Fiorentina,15000000,2021
155,Gregor Kobel,Goalkeeper,23,13000000,Germany,Bundesliga,VfB Stuttgart,Germany,Bundesliga,Borussia Dortmund,15000000,2021
156,Gaëtan Laborde,Centre-Forward,27,15000000,France,Ligue 1,Montpellier HSC,France,Ligue 1,Stade Rennais FC,15000000,2021
157,Junior Firpo,Left-Back,24,8000000,Spain,LaLiga,FC Barcelona,England,Premier League,Leeds United,15000000,2021
158,Calvin Stengs,Right Winger,22,14000000,Netherlands,Eredivisie,AZ Alkmaar,France,Ligue 1,OGC Nice,15000000,2021
159,Dan Burn,Centre-Back,29,3000000,England,Premier League,Brighton & Hove Albion,England,Premier League,Newcastle United,15000000,2021
160,Romain Faivre,Right Midfield,23,15000000,France,Ligue 1,Stade Brestois 29,France,Ligue 1,Olympique Lyon,15000000,2021
161,Juan Foyth,Right-Back,23,12000000,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Villarreal CF,15000000,2021
162,Maxwel Cornet,Left Winger,24,12000000,France,Ligue 1,Olympique Lyon,England,Premier League,Burnley FC,15000000,2021
163,Benjamin Henrichs,Right-Back,24,12000000,Monaco,Ligue 1,AS Monaco,Germany,Bundesliga,RB Leipzig,15000000,2021
164,Baptiste Santamaria,Central Midfield,26,15000000,Germany,Bundesliga,SC Freiburg,France,Ligue 1,Stade Rennais FC,14000000,2021
165,Jack Harrison,Left Winger,24,15000000,England,Premier League,Manchester City,England,Premier League,Leeds United,12000000,2021
166,Luca Waldschmidt,Second Striker,25,15000000,Portugal,Liga Bwin,SL Benfica,Germany,Bundesliga,VfL Wolfsburg,12000000,2021
167,Razvan Marin,Central Midfield,25,15000000,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,Cagliari Calcio,10000000,2021
168,Michael Olise,Right Winger,19,15000000,England,Championship,Reading FC,England,Premier League,Crystal Palace,9000000,2021
169,Thomas Delaney,Central Midfield,29,15000000,Germany,Bundesliga,Borussia Dortmund,Spain,LaLiga,Sevilla FC,6000000,2021
170,Carles Aleñá,Central Midfield,23,15000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Getafe CF,5000000,2021
171,Matheus Henrique,Central Midfield,23,15000000,Brazil,Série A,Grêmio Foot-Ball Porto Alegrense,Italy,Serie A,US Sassuolo,4000000,2021
172,Grzegorz Krychowiak,Defensive Midfield,31,15000000,Russia,Premier Liga,Lokomotiv Moscow,Russia,Premier Liga,FK Krasnodar,4000000,2021
173,Brahim Díaz,Attacking Midfield,21,15000000,Spain,LaLiga,Real Madrid,Italy,Serie A,AC Milan,3000000,2021
174,Sérgio Oliveira,Central Midfield,29,15000000,Portugal,Liga Bwin,FC Porto,Italy,Serie A,AS Roma,1000000,2021
175,Sérgio Oliveira,Central Midfield,29,15000000,Portugal,Liga Bwin,FC Porto,Italy,Serie A,AS Roma,1000000,2021
176,Yusuf Yazici,Attacking Midfield,24,15000000,France,Ligue 1,LOSC Lille,Russia,Premier Liga,CSKA Moscow,350k,2021
177,Mattia Zaccagni,Left Winger,26,15000000,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,200k,2021
178,Conor Gallagher,Central Midfield,21,15000000,England,Premier League 2,Chelsea FC U23,England,Premier League,Crystal Palace,loan transfer,2021
179,Takefusa Kubo,Right Winger,20,15000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,RCD Mallorca,loan transfer,2021
180,Ethan Ampadu,Centre-Back,20,15000000,England,Premier League,Chelsea FC,Italy,Serie A,Venezia FC,loan transfer,2021
181,Pierre-Emerick Aubameyang,Centre-Forward,32,15000000,England,Premier League,Arsenal FC,Spain,LaLiga,FC Barcelona,free transfer,2021
182,Nathan Collins,Centre-Back,20,8000000,England,Championship,Stoke City,England,Premier League,Burnley FC,14000000,2021
183,Nathan Patterson,Right-Back,20,3000000,Scotland,Premiership,Rangers FC,England,Premier League,Everton FC,14000000,2021
184,Boulaye Dia,Centre-Forward,24,14000000,France,Ligue 1,Stade Reims,Spain,LaLiga,Villarreal CF,12000000,2021
185,Kayky,Right Winger,18,14000000,Brazil,Série A,Fluminense Football Club,England,Premier League 2,Manchester City U23,10000000,2021
186,Antonin Barak,Attacking Midfield,26,14000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,Hellas Verona,6000000,2021
187,Emerson,Left-Back,27,14000000,England,Premier League,Chelsea FC,France,Ligue 1,Olympique Lyon,500k,2021
188,Justin Kluivert,Left Winger,22,14000000,Italy,Serie A,AS Roma,France,Ligue 1,OGC Nice,loan transfer,2021
189,Sebastiaan Bornauw,Centre-Back,22,12000000,Germany,Bundesliga,1. FC Köln,Germany,Bundesliga,VfL Wolfsburg,13000000,2021
190,Toby Alderweireld,Centre-Back,32,11000000,England,Premier League,Tottenham Hotspur,Qatar,Stars League,Al-Duhail SC,13000000,2021
191,Matías Viña,Left-Back,23,5000000,Brazil,Série A,Sociedade Esportiva Palmeiras,Italy,Serie A,AS Roma,13000000,2021
192,Lovro Majer,Attacking Midfield,23,13000000,Croatia,1. HNL,GNK Dinamo Zagreb,France,Ligue 1,Stade Rennais FC,12000000,2021
193,Marcus Edwards,Right Winger,23,13000000,Portugal,Liga Bwin,Vitória Guimarães SC,Portugal,Liga Bwin,Sporting CP,7000000,2021
194,Mathias Normann,Defensive Midfield,25,13000000,Russia,Premier Liga,FK Rostov,England,Premier League,Norwich City,2000000,2021
195,Alessandro Florenzi,Right-Back,30,13000000,Italy,Serie A,AS Roma,Italy,Serie A,AC Milan,1000000,2021
196,Elseid Hysaj,Right-Back,27,13000000,Italy,Serie A,SSC Napoli,Italy,Serie A,SS Lazio,free transfer,2021
197,Wesley Moraes,Centre-Forward,24,13000000,England,Premier League,Aston Villa,Belgium,Jupiler Pro League,Club Brugge KV,loan transfer,2021
198,Dodi Lukébakio,Right Winger,23,13000000,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,VfL Wolfsburg,loan transfer,2021
199,Amadou Onana,Defensive Midfield,19,3000000,Germany,2. Bundesliga,Hamburger SV,France,Ligue 1,LOSC Lille,12000000,2021
200,Zinho Vanheusden,Centre-Back,21,12000000,Belgium,Jupiler Pro League,Standard Liège,Italy,Serie A,Inter Milan,16000000,2021
201,Marlon,Centre-Back,25,6000000,Italy,Serie A,US Sassuolo,Ukraine,Premier Liga,Shakhtar Donetsk,12000000,2021
202,Romain Perraud,Left-Back,23,8000000,France,Ligue 1,Stade Brestois 29,England,Premier League,Southampton FC,12000000,2021
203,Claudinho,Attacking Midfield,24,11000000,Brazil,Série A,Red Bull Bragantino,Russia,Premier Liga,Zenit St. Petersburg,12000000,2021
204,Mohamed Daramy,Left Winger,19,4000000,Denmark,Superligaen,FC Copenhagen,Netherlands,Eredivisie,Ajax Amsterdam,12000000,2021
205,Jonas Wind,Centre-Forward,22,7000000,Denmark,Superligaen,FC Copenhagen,Germany,Bundesliga,VfL Wolfsburg,12000000,2021
206,Christos Tzolis,Left Winger,19,12000000,Greece,Super League 1,PAOK Thessaloniki,England,Premier League,Norwich City,11000000,2021
