,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
40,Diego Carlos,Centre-Back,29,40000000,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,31000000,2022
41,Antonio Rüdiger,Centre-Back,29,40000000,England,Premier League,Chelsea FC,Spain,LaLiga,Real Madrid,free transfer,2022
42,Kalidou Koulibaly,Centre-Back,31,35000000,Italy,Serie A,SSC Napoli,England,Premier League,Chelsea FC,38000000,2022
43,Sven Botman,Centre-Back,22,30000000,France,Ligue 1,LOSC Lille,England,Premier League,Newcastle United,37000000,2022
44,Gianluca Scamacca,Centre-Forward,23,30000000,Italy,Serie A,US Sassuolo,England,Premier League,West Ham United,36000000,2022
45,Fábio Vieira,Attacking Midfield,22,25000000,Portugal,Liga Portugal,FC Porto,England,Premier League,Arsenal FC,35000000,2022
46,Nayef Aguerd,Centre-Back,26,12000000,France,Ligue 1,Stade Rennais FC,England,Premier League,West Ham United,35000000,2022
47,Oleksandr Zinchenko,Left-Back,25,25000000,England,Premier League,Manchester City,England,Premier League,Arsenal FC,35000000,2022
48,Amadou Onana,Defensive Midfield,20,10000000,France,Ligue 1,LOSC Lille,England,Premier League,Everton FC,35000000,2022
49,Noni Madueke,Right Winger,20,15000000,Netherlands,Eredivisie,PSV Eindhoven,England,Premier League,Chelsea FC,35000000,2022
50,Sébastien Haller,Centre-Forward,28,35000000,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Borussia Dortmund,31000000,2022
51,Karim Adeyemi,Left Winger,20,35000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,Borussia Dortmund,30000000,2022
52,Yves Bissouma,Central Midfield,25,35000000,England,Premier League,Brighton & Hove Albion,England,Premier League,Tottenham Hotspur,29000000,2022
53,Timo Werner,Centre-Forward,26,35000000,England,Premier League,Chelsea FC,Germany,Bundesliga,RB Leipzig,20000000,2022
54,Ryan Gravenberch,Central Midfield,20,35000000,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,18000000,2022
55,Jorginho,Defensive Midfield,31,35000000,England,Premier League,Chelsea FC,England,Premier League,Arsenal FC,11000000,2022
56,Arnaut Danjuma,Left Winger,25,35000000,Spain,LaLiga,Villarreal CF,England,Premier League,Tottenham Hotspur,3000000,2022
57,Niklas Süle,Centre-Back,26,35000000,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,Borussia Dortmund,free transfer,2022
58,Andreas Christensen,Centre-Back,26,35000000,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,free transfer,2022
59,Paulo Dybala,Second Striker,28,35000000,Italy,Serie A,Juventus FC,Italy,Serie A,AS Roma,free transfer,2022
60,Nico Schlotterbeck,Centre-Back,22,33000000,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,Borussia Dortmund,20000000,2022
61,Brenden Aaronson,Attacking Midfield,21,25000000,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,32000000,2022
62,Charles De Ketelaere,Attacking Midfield,21,30000000,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,AC Milan,32000000,2022
63,Vitinha,Centre-Forward,22,15000000,Portugal,Liga Portugal,SC Braga,France,Ligue 1,Olympique Marseille,32000000,2022
64,Gonçalo Guedes,Second Striker,26,32000000,England,Premier League,Wolverhampton Wanderers,Portugal,Liga Portugal,SL Benfica,loan transfer,2022
65,Steven Bergwijn,Left Winger,24,18000000,England,Premier League,Tottenham Hotspur,Netherlands,Eredivisie,Ajax Amsterdam,31000000,2022
66,Malo Gusto,Right-Back,19,15000000,France,Ligue 1,Olympique Lyon,England,Premier League,Chelsea FC,30000000,2022
67,Leandro Trossard,Left Winger,28,30000000,England,Premier League,Brighton & Hove Albion,England,Premier League,Arsenal FC,24000000,2022
68,Manuel Akanji,Centre-Back,27,30000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,17000000,2022
69,Frank Anguissa,Central Midfield,26,30000000,England,Premier League,Fulham FC,Italy,Serie A,SSC Napoli,16000000,2022
70,Nicolò Zaniolo,Attacking Midfield,23,30000000,Italy,Serie A,AS Roma,Turkey,Süper Lig,Galatasaray,15000000,2022
71,Renan Lodi,Left-Back,24,30000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Nottingham Forest,5000000,2022
72,Tanguy Ndombélé,Central Midfield,25,30000000,England,Premier League,Tottenham Hotspur,Italy,Serie A,SSC Napoli,500k,2022
73,Angeliño,Left-Back,25,30000000,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,TSG 1899 Hoffenheim,loan transfer,2022
74,Morgan Gibbs-White,Attacking Midfield,22,11000000,England,Premier League,Wolverhampton Wanderers,England,Premier League,Nottingham Forest,29000000,2022
75,Renato Sanches,Central Midfield,24,28000000,France,Ligue 1,LOSC Lille,France,Ligue 1,Paris Saint-Germain,15000000,2022
76,Leander Dendoncker,Defensive Midfield,27,28000000,England,Premier League,Wolverhampton Wanderers,England,Premier League,Aston Villa,15000000,2022
77,Giacomo Raspadori,Second Striker,22,28000000,Italy,Serie A,US Sassuolo,Italy,Serie A,SSC Napoli,5000000,2022
78,Hugo Ekitiké,Centre-Forward,20,28000000,France,Ligue 1,Stade Reims,France,Ligue 1,Paris Saint-Germain,loan transfer,2022
79,Mohamed Camara,Defensive Midfield,22,27000000,Austria,Bundesliga,Red Bull Salzburg,Monaco,Ligue 1,AS Monaco,15000000,2022
80,Xaver Schlager,Central Midfield,24,27000000,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,RB Leipzig,12000000,2022
81,Denis Zakaria,Defensive Midfield,25,27000000,Italy,Serie A,Juventus FC,England,Premier League,Chelsea FC,3000000,2022
82,David Raum,Left-Back,24,20000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,RB Leipzig,26000000,2022
83,Luis Sinisterra,Left Winger,23,25000000,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Leeds United,25000000,2022
84,Jakub Kiwior,Centre-Back,22,8000000,Italy,Serie A,Spezia Calcio,England,Premier League,Arsenal FC,25000000,2022
85,Kamaldeen Sulemana,Left Winger,20,18000000,France,Ligue 1,Stade Rennais FC,England,Premier League,Southampton FC,25000000,2022
86,Merih Demiral,Centre-Back,24,25000000,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,21000000,2022
87,João Palhinha,Defensive Midfield,26,25000000,Portugal,Liga Portugal,Sporting CP,England,Premier League,Fulham FC,20000000,2022
88,Danilo,Defensive Midfield,21,25000000,Brazil,Paulistão A1 - Primeira fase,Sociedade Esportiva Palmeiras,England,Premier League,Nottingham Forest,20000000,2022
89,Sasa Kalajdzic,Centre-Forward,25,25000000,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Wolverhampton Wanderers,18000000,2022
90,Mattéo Guendouzi,Central Midfield,23,25000000,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,11000000,2022
91,Pedro Porro,Right-Back,22,25000000,England,Premier League,Manchester City,Portugal,Liga Portugal,Sporting CP,8000000,2022
92,Raúl de Tomás,Centre-Forward,27,25000000,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Rayo Vallecano,8000000,2022
93,Pedro Porro,Right-Back,23,25000000,Portugal,Liga Portugal,Sporting CP,England,Premier League,Tottenham Hotspur,5000000,2022
94,Lucas Ocampos,Left Winger,28,25000000,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Ajax Amsterdam,4000000,2022
95,Lorenzo Insigne,Left Winger,31,25000000,Italy,Serie A,SSC Napoli,Canada,MLS,Toronto FC,free transfer,2022
96,Boubacar Kamara,Defensive Midfield,22,25000000,France,Ligue 1,Olympique Marseille,England,Premier League,Aston Villa,free transfer,2022
97,Conor Coady,Centre-Back,29,25000000,England,Premier League,Wolverhampton Wanderers,England,Premier League,Everton FC,loan transfer,2022
98,Nicolas Pépé,Right Winger,27,25000000,England,Premier League,Arsenal FC,France,Ligue 1,OGC Nice,loan transfer,2022
99,Callum Hudson-Odoi,Left Winger,21,25000000,England,Premier League,Chelsea FC,Germany,Bundesliga,Bayer 04 Leverkusen,loan transfer,2022
100,Sergio Reguilón,Left-Back,25,25000000,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Atlético de Madrid,loan transfer,2022
101,Nathan Collins,Centre-Back,21,10000000,England,Championship,Burnley FC,England,Premier League,Wolverhampton Wanderers,24000000,2022
102,Filip Kostić,Left Midfield,29,24000000,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,Juventus FC,13000000,2022
103,Joaquín Correa,Second Striker,27,23000000,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,23000000,2022
104,Calvin Bassey,Centre-Back,22,10000000,Scotland,Premiership,Rangers FC,Netherlands,Eredivisie,Ajax Amsterdam,23000000,2022
105,Ilya Zabarnyi,Centre-Back,20,15000000,Ukraine,Premier Liga,Dynamo Kyiv,England,Premier League,AFC Bournemouth,22000000,2022
106,Jérémie Boga,Left Winger,25,19000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Atalanta BC,22000000,2022
107,Sofiane Diop,Left Winger,22,20000000,Monaco,Ligue 1,AS Monaco,France,Ligue 1,OGC Nice,22000000,2022
108,Thilo Kehrer,Centre-Back,25,22000000,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,12000000,2022
109,Cengiz Ünder,Right Winger,24,22000000,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,8000000,2022
110,Viktor Tsygankov,Right Winger,25,22000000,Ukraine,Premier Liga,Dynamo Kyiv,Spain,LaLiga,Girona FC,5000000,2022
111,James Tarkowski,Centre-Back,29,22000000,England,Championship,Burnley FC,England,Premier League,Everton FC,free transfer,2022
112,Giovani Lo Celso,Central Midfield,26,22000000,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Villarreal CF,loan transfer,2022
113,Julian Weigl,Defensive Midfield,26,22000000,Portugal,Liga Portugal,SL Benfica,Germany,Bundesliga,Borussia Mönchengladbach,loan transfer,2022
114,Jan Bednarek,Centre-Back,26,22000000,England,Premier League,Southampton FC,England,Premier League,Aston Villa,loan transfer,2022
115,Mauro Icardi,Centre-Forward,29,22000000,France,Ligue 1,Paris Saint-Germain,Turkey,Süper Lig,Galatasaray,loan transfer,2022
116,Hamed Junior Traorè,Attacking Midfield,22,22000000,Italy,Serie A,US Sassuolo,England,Premier League,AFC Bournemouth,loan transfer,2022
117,Weston McKennie,Central Midfield,24,21000000,Italy,Serie A,Juventus FC,England,Premier League,Leeds United,1000000,2022
118,Maxwel Cornet,Left Winger,25,15000000,England,Championship,Burnley FC,England,Premier League,West Ham United,20000000,2022
119,Taiwo Awoniyi,Centre-Forward,24,20000000,Germany,Bundesliga,1.FC Union Berlin,England,Premier League,Nottingham Forest,20000000,2022
120,David Carmo,Centre-Back,22,15000000,Portugal,Liga Portugal,SC Braga,Portugal,Liga Portugal,FC Porto,20000000,2022
121,Philippe Coutinho,Left Winger,30,20000000,Spain,LaLiga,FC Barcelona,England,Premier League,Aston Villa,20000000,2022
122,Neco Williams,Right-Back,21,8000000,England,Premier League,Liverpool FC,England,Premier League,Nottingham Forest,20000000,2022
123,Mathys Tel,Centre-Forward,17,2000000,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,Bayern Munich,20000000,2022
124,Nahuel Molina,Right-Back,24,20000000,Italy,Serie A,Udinese Calcio,Spain,LaLiga,Atlético de Madrid,20000000,2022
125,Arnaud Kalimuendo,Centre-Forward,20,18000000,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,Stade Rennais FC,20000000,2022
126,Umar Sadiq,Centre-Forward,25,18000000,Spain,LaLiga,UD Almería,Spain,LaLiga,Real Sociedad,20000000,2022
127,Pervis Estupiñán,Left-Back,24,20000000,Spain,LaLiga,Villarreal CF,England,Premier League,Brighton & Hove Albion,17000000,2022
128,David Neres,Right Winger,25,20000000,Ukraine,Premier Liga,Shakhtar Donetsk,Portugal,Liga Portugal,SL Benfica,15000000,2022
129,Dodô,Right-Back,23,20000000,Ukraine,Premier Liga,Shakhtar Donetsk,Italy,Serie A,ACF Fiorentina,14000000,2022
130,Álex Moreno,Left-Back,29,20000000,Spain,LaLiga,Real Betis Balompié,England,Premier League,Aston Villa,13000000,2022
131,Adam Hlozek,Centre-Forward,19,20000000,Czech Republic,Fortuna Liga,AC Sparta Prague,Germany,Bundesliga,Bayer 04 Leverkusen,13000000,2022
132,Nordi Mukiele,Right-Back,24,20000000,Germany,Bundesliga,RB Leipzig,France,Ligue 1,Paris Saint-Germain,12000000,2022
133,Remo Freuler,Central Midfield,30,20000000,Italy,Serie A,Atalanta BC,England,Premier League,Nottingham Forest,9000000,2022
134,Lucas Torreira,Defensive Midfield,26,20000000,England,Premier League,Arsenal FC,Turkey,Süper Lig,Galatasaray,6000000,2022
135,Pablo Sarabia,Right Winger,30,20000000,France,Ligue 1,Paris Saint-Germain,England,Premier League,Wolverhampton Wanderers,5000000,2022
136,Trincão,Right Winger,22,20000000,Spain,LaLiga,FC Barcelona,Portugal,Liga Portugal,Sporting CP,3000000,2022
137,Memphis Depay,Centre-Forward,28,20000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Atlético de Madrid,3000000,2022
138,Antonin Barak,Attacking Midfield,27,20000000,Italy,Serie A,Hellas Verona,Italy,Serie A,ACF Fiorentina,1000000,2022
139,Noussair Mazraoui,Right-Back,24,20000000,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,free transfer,2022
140,Christian Eriksen,Central Midfield,30,20000000,England,Premier League,Brentford FC,England,Premier League,Manchester United,free transfer,2022
141,Andrea Pinamonti,Centre-Forward,23,20000000,Italy,Serie A,Inter Milan,Italy,Serie A,US Sassuolo,loan transfer,2022
142,Nico González,Central Midfield,20,20000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Valencia CF,loan transfer,2022
143,Andrea Belotti,Centre-Forward,28,20000000,Italy,Serie A,Torino FC,Italy,Serie A,AS Roma,free transfer,2022
144,Héctor Bellerín,Right-Back,27,20000000,England,Premier League,Arsenal FC,Spain,LaLiga,FC Barcelona,free transfer,2022
145,Matheus Cunha,Centre-Forward,23,20000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Wolverhampton Wanderers,loan transfer,2022
146,Marcel Sabitzer,Central Midfield,28,20000000,Germany,Bundesliga,Bayern Munich,England,Premier League,Manchester United,loan transfer,2022
147,Keane Lewis-Potter,Left Winger,21,12000000,England,Championship,Hull City,England,Premier League,Brentford FC,19000000,2022
148,Arthur Theate,Centre-Back,22,15000000,Italy,Serie A,Bologna FC 1909,France,Ligue 1,Stade Rennais FC,19000000,2022
149,Hassane Kamara,Left-Back,28,4000000,England,Championship,Watford FC,Italy,Serie A,Udinese Calcio,19000000,2022
150,João Gomes,Central Midfield,21,15000000,Brazil,Carioca - Taça Guanabara,CR Flamengo,England,Premier League,Wolverhampton Wanderers,18000000,2022
151,Min-jae Kim,Centre-Back,25,14000000,Turkey,Süper Lig,Fenerbahce,Italy,Serie A,SSC Napoli,18000000,2022
152,Carney Chukwuemeka,Central Midfield,18,6000000,England,Premier League,Aston Villa,England,Premier League,Chelsea FC,18000000,2022
153,Destiny Udogie,Left-Back,19,17000000,Italy,Serie A,Udinese Calcio,England,Premier League,Tottenham Hotspur,18000000,2022
154,Paul Onuachu,Centre-Forward,28,15000000,Belgium,Jupiler Pro League,KRC Genk,England,Premier League,Southampton FC,18000000,2022
155,Dwight McNeil,Left Winger,22,18000000,England,Championship,Burnley FC,England,Premier League,Everton FC,17000000,2022
156,Aaron Hickey,Left-Back,20,18000000,Italy,Serie A,Bologna FC 1909,England,Premier League,Brentford FC,16000000,2022
157,Gaëtan Laborde,Centre-Forward,28,18000000,France,Ligue 1,Stade Rennais FC,France,Ligue 1,OGC Nice,15000000,2022
158,Gerson,Central Midfield,25,18000000,France,Ligue 1,Olympique Marseille,Brazil,Carioca - Taça Guanabara,CR Flamengo,15000000,2022
159,Brais Méndez,Attacking Midfield,25,18000000,Spain,LaLiga,Celta de Vigo,Spain,LaLiga,Real Sociedad,14000000,2022
160,Neal Maupay,Centre-Forward,26,18000000,England,Premier League,Brighton & Hove Albion,England,Premier League,Everton FC,11000000,2022
161,Moussa Niakhaté,Centre-Back,26,18000000,Germany,Bundesliga,1.FSV Mainz 05,England,Premier League,Nottingham Forest,10000000,2022
162,Mattia Zaccagni,Left Winger,27,18000000,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,7000000,2022
163,Zeki Celik,Right-Back,25,18000000,France,Ligue 1,LOSC Lille,Italy,Serie A,AS Roma,7000000,2022
164,Arthur Melo,Central Midfield,26,18000000,Italy,Serie A,Juventus FC,England,Premier League,Liverpool FC,4000000,2022
165,Julian Draxler,Left Winger,28,18000000,France,Ligue 1,Paris Saint-Germain,Portugal,Liga Portugal,SL Benfica,2000000,2022
166,Abdou Diallo,Centre-Back,26,18000000,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,RB Leipzig,1000000,2022
167,Matthias Ginter,Centre-Back,28,18000000,Germany,Bundesliga,Borussia Mönchengladbach,Germany,Bundesliga,SC Freiburg,free transfer,2022
168,Jesse Lingard,Attacking Midfield,29,18000000,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,free transfer,2022
169,Dean Henderson,Goalkeeper,25,18000000,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,loan transfer,2022
170,Alex Telles,Left-Back,29,18000000,England,Premier League,Manchester United,Spain,LaLiga,Sevilla FC,loan transfer,2022
171,Georginio Wijnaldum,Central Midfield,31,18000000,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,AS Roma,loan transfer,2022
172,Sergiño Dest,Right-Back,21,18000000,Spain,LaLiga,FC Barcelona,Italy,Serie A,AC Milan,loan transfer,2022
173,André Gomes,Central Midfield,29,18000000,England,Premier League,Everton FC,France,Ligue 1,LOSC Lille,loan transfer,2022
174,Daniel James,Right Winger,24,18000000,England,Premier League,Leeds United,England,Premier League,Fulham FC,loan transfer,2022
175,Nathan Redmond,Left Winger,28,18000000,England,Premier League,Southampton FC,Turkey,Süper Lig,Besiktas JK,free transfer,2022
176,Ruslan Malinovskyi,Attacking Midfield,29,18000000,Italy,Serie A,Atalanta BC,France,Ligue 1,Olympique Marseille,loan transfer,2022
177,Issa Diop,Centre-Back,25,10000000,England,Premier League,West Ham United,England,Premier League,Fulham FC,17000000,2022
178,Matt Targett,Left-Back,26,17000000,England,Premier League,Aston Villa,England,Premier League,Newcastle United,17000000,2022
179,Tyler Adams,Defensive Midfield,23,17000000,Germany,Bundesliga,RB Leipzig,England,Premier League,Leeds United,17000000,2022
180,Wout Faes,Centre-Back,24,10000000,France,Ligue 1,Stade Reims,England,Premier League,Leicester City,17000000,2022
181,Harry Souttar,Centre-Back,24,6000000,England,Championship,Stoke City,England,Premier League,Leicester City,17000000,2022
182,Tyrell Malacia,Left-Back,22,17000000,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Manchester United,15000000,2022
183,Marcos Senesi,Centre-Back,25,17000000,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,AFC Bournemouth,15000000,2022
184,Jordan Veretout,Defensive Midfield,29,17000000,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,11000000,2022
185,Giovanni Simeone,Centre-Forward,26,17000000,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Hellas Verona,10000000,2022
186,Destiny Udogie,Left-Back,19,17000000,Italy,Serie A,Hellas Verona,Italy,Serie A,Udinese Calcio,4000000,2022
187,Giovanni Simeone,Centre-Forward,27,17000000,Italy,Serie A,Hellas Verona,Italy,Serie A,SSC Napoli,3000000,2022
188,Yusuf Yazici,Attacking Midfield,25,17000000,France,Ligue 1,LOSC Lille,Turkey,Süper Lig,Trabzonspor,500k,2022
189,Alessio Romagnoli,Centre-Back,27,17000000,Italy,Serie A,AC Milan,Italy,Serie A,SS Lazio,free transfer,2022
190,Chancel Mbemba,Centre-Back,27,17000000,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Olympique Marseille,free transfer,2022
191,Destiny Udogie,Left-Back,19,17000000,England,Premier League,Tottenham Hotspur,Italy,Serie A,Udinese Calcio,loan transfer,2022
192,Leandro Paredes,Defensive Midfield,28,17000000,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,loan transfer,2022
193,Kasper Dolberg,Centre-Forward,24,17000000,France,Ligue 1,OGC Nice,Spain,LaLiga,Sevilla FC,loan transfer,2022
194,Hee-chan Hwang,Centre-Forward,26,16000000,Germany,Bundesliga,RB Leipzig,England,Premier League,Wolverhampton Wanderers,16000000,2022
195,Jhon Durán,Centre-Forward,19,6000000,United States,MLS,Chicago Fire FC,England,Premier League,Aston Villa,16000000,2022
196,Mathías Olivera,Left-Back,24,15000000,Spain,LaLiga,Getafe CF,Italy,Serie A,SSC Napoli,16000000,2022
197,Brian Brobbey,Centre-Forward,20,9000000,Germany,Bundesliga,RB Leipzig,Netherlands,Eredivisie,Ajax Amsterdam,16000000,2022
198,Georginio Rutter,Centre-Forward,20,16000000,Germany,Bundesliga,TSG 1899 Hoffenheim,England,Premier League,Leeds United,28000000,2022
199,Tanguy Nianzou,Centre-Back,20,9000000,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,Sevilla FC,16000000,2022
200,Danny Ings,Centre-Forward,30,16000000,England,Premier League,Aston Villa,England,Premier League,West Ham United,12000000,2022
201,St. Juste,Centre-Back,25,16000000,Germany,Bundesliga,1.FSV Mainz 05,Portugal,Liga Portugal,Sporting CP,10000000,2022
202,Arkadiusz Milik,Centre-Forward,28,16000000,Italy,Serie A,SSC Napoli,France,Ligue 1,Olympique Marseille,8000000,2022
203,Duje Caleta-Car,Centre-Back,25,16000000,France,Ligue 1,Olympique Marseille,England,Premier League,Southampton FC,8000000,2022
204,Matteo Pessina,Central Midfield,25,16000000,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,3000000,2022
205,Arkadiusz Milik,Centre-Forward,28,16000000,France,Ligue 1,Olympique Marseille,Italy,Serie A,Juventus FC,750k,2022
206,Randal Kolo Muani,Centre-Forward,23,16000000,France,Ligue 1,FC Nantes,Germany,Bundesliga,Eintracht Frankfurt,free transfer,2022
207,Luiz Felipe,Centre-Back,25,16000000,Italy,Serie A,SS Lazio,Spain,LaLiga,Real Betis Balompié,free transfer,2022
