,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year,General_Position
63,James Maddison,Attacking Midfield,21,10000000,England,Others,Norwich City,England,Premier League,Leicester City,25000000,2018,Midfield
64,Simone Verdi,Attacking Midfield,25,25000000,Italy,Serie A,Bologna FC 1909,Italy,Serie A,SSC Napoli,24000000,2018,Midfield
65,Rodri,Defensive Midfield,22,25000000,Spain,LaLiga,Villarreal CF,Spain,LaLiga,Atlético de Madrid,20000000,2018,Midfield
66,Talisca,Attacking Midfield,24,25000000,Portugal,Others,SL Benfica,China,Others,Guangzhou Evergrande Taobao,19000000,2018,Midfield
67,Paulinho,Left Winger,18,25000000,Brazil,Others,Clube de Regatas Vasco da Gama,Germany,Bundesliga,Bayer 04 Leverkusen,18000000,2018,Attack
68,William Carvalho,Defensive Midfield,26,25000000,Portugal,Others,Sporting CP,Spain,LaLiga,Real Betis Balompié,16000000,2018,Midfield
69,Bryan Cristante,Defensive Midfield,23,25000000,Portugal,Others,SL Benfica,Italy,Serie A,Atalanta BC,9000000,2018,Midfield
70,Cesc Fàbregas,Central Midfield,31,25000000,England,Premier League,Chelsea FC,Monaco,Ligue 1,AS Monaco,9000000,2018,Midfield
71,Tanguy Ndombélé,Central Midfield,21,25000000,France,Ligue 1,Amiens SC,France,Ligue 1,Olympique Lyon,8000000,2018,Midfield
72,Sime Vrsaljko,Right-Back,26,25000000,Spain,LaLiga,Atlético de Madrid,Italy,Serie A,Inter Milan,6000000,2018,Defense
73,Bryan Cristante,Defensive Midfield,23,25000000,Italy,Serie A,Atalanta BC,Italy,Serie A,AS Roma,5000000,2018,Midfield
74,Frank Anguissa,Central Midfield,22,18000000,France,Ligue 1,Olympique Marseille,England,Premier League,Fulham FC,24000000,2018,Midfield
75,Javier Pastore,Attacking Midfield,29,15000000,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,AS Roma,24000000,2018,Midfield
76,Aleksandar Mitrović,Centre-Forward,23,15000000,England,Premier League,Newcastle United,England,Premier League,Fulham FC,24000000,2018,Attack
77,Yuri Berchiche,Left-Back,28,17000000,France,Ligue 1,Paris Saint-Germain,Spain,LaLiga,Athletic Bilbao,24000000,2018,Defense
78,Miguel Almirón,Right Winger,24,15000000,United States,Others,Atlanta United FC,England,Premier League,Newcastle United,24000000,2018,Attack
79,Quincy Promes,Left Winger,26,24000000,Russia,Others,Spartak Moscow,Spain,LaLiga,Sevilla FC,21000000,2018,Attack
80,Alassane Plea,Left Winger,25,18000000,France,Ligue 1,OGC Nice,Germany,Bundesliga,Borussia Mönchengladbach,23000000,2018,Attack
81,Andriy Yarmolenko,Right Winger,28,23000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,West Ham United,20000000,2018,Attack
82,Nikola Kalinic,Centre-Forward,30,14000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,AC Milan,22000000,2018,Attack
83,Ricardo Pereira,Right-Back,24,20000000,Portugal,Others,FC Porto,England,Premier League,Leicester City,22000000,2018,Defense
84,Diogo Dalot,Right-Back,19,15000000,Portugal,Others,FC Porto,England,Premier League,Manchester United,22000000,2018,Defense
85,Moussa Dembélé,Centre-Forward,22,7000000,Scotland,Others,Celtic FC,France,Ligue 1,Olympique Lyon,22000000,2018,Attack
86,Mariano Díaz,Centre-Forward,25,22000000,France,Ligue 1,Olympique Lyon,Spain,LaLiga,Real Madrid,21000000,2018,Attack
87,Talisca,Attacking Midfield,24,22000000,Portugal,Others,SL Benfica,China,Others,Guangzhou Evergrande Taobao,5000000,2018,Midfield
88,Matteo Politano,Right Winger,24,22000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Inter Milan,5000000,2018,Attack
89,André Silva,Centre-Forward,22,22000000,Italy,Serie A,AC Milan,Spain,LaLiga,Sevilla FC,3000000,2018,Attack
90,Simone Zaza,Centre-Forward,27,22000000,Spain,LaLiga,Valencia CF,Italy,Serie A,Torino FC,2000000,2018,Attack
91,Samu Castillejo,Right Winger,23,15000000,Spain,LaLiga,Villarreal CF,Italy,Serie A,AC Milan,21000000,2018,Attack
92,Dominic Solanke,Centre-Forward,21,10000000,England,Premier League,Liverpool FC,England,Premier League,AFC Bournemouth,21000000,2018,Attack
93,Caglar Söyüncü,Centre-Back,22,18000000,Germany,Bundesliga,SC Freiburg,England,Premier League,Leicester City,21000000,2018,Defense
94,Jonny Otto,Left-Back,24,12000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Wolverhampton Wanderers,21000000,2018,Defense
95,Lucas Digne,Left-Back,25,15000000,Spain,LaLiga,FC Barcelona,England,Premier League,Everton FC,20000000,2018,Defense
96,Thomas Delaney,Central Midfield,26,12000000,Germany,Bundesliga,SV Werder Bremen,Germany,Bundesliga,Borussia Dortmund,20000000,2018,Midfield
97,Terence Kongolo,Centre-Back,24,10000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Huddersfield Town,20000000,2018,Defense
98,Gerard Moreno,Centre-Forward,26,20000000,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Villarreal CF,20000000,2018,Attack
99,Willem Geubbels,Left Winger,16,6000000,France,Ligue 1,Olympique Lyon,Monaco,Ligue 1,AS Monaco,20000000,2018,Attack
100,Rolando Mandragora,Defensive Midfield,21,10000000,Italy,Serie A,Juventus FC,Italy,Serie A,Udinese Calcio,20000000,2018,Midfield
101,Axel Witsel,Defensive Midfield,29,20000000,China,Others,Tianjin Tianhai (-2019),Germany,Bundesliga,Borussia Dortmund,20000000,2018,Midfield
102,Adama Traoré,Right Winger,22,8000000,England,Others,Middlesbrough FC,England,Premier League,Wolverhampton Wanderers,20000000,2018,Attack
103,Benjamin Henrichs,Right-Back,21,12000000,Germany,Bundesliga,Bayer 04 Leverkusen,Monaco,Ligue 1,AS Monaco,20000000,2018,Defense
104,Amadou Haidara,Central Midfield,20,20000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,RB Leipzig,19000000,2018,Midfield
105,Duván Zapata,Centre-Forward,27,20000000,Italy,Serie A,SSC Napoli,Italy,Serie A,UC Sampdoria,18000000,2018,Attack
106,Sokratis Papastathopoulos,Centre-Back,30,20000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Arsenal FC,16000000,2018,Defense
107,Kévin Gameiro,Centre-Forward,31,20000000,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Valencia CF,16000000,2018,Attack
108,Pity Martínez,Attacking Midfield,25,20000000,Argentina,Others,CA River Plate,United States,Others,Atlanta United FC,14000000,2018,Midfield
109,Duván Zapata,Centre-Forward,27,20000000,Italy,Serie A,UC Sampdoria,Italy,Serie A,Atalanta BC,14000000,2018,Attack
110,Jack Wilshere,Central Midfield,26,20000000,England,Premier League,Arsenal FC,England,Premier League,West Ham United,0,2018,Midfield
111,Mario Balotelli,Centre-Forward,28,20000000,France,Ligue 1,OGC Nice,France,Ligue 1,Olympique Marseille,0,2018,Attack
112,Gelson Martins,Right Winger,23,20000000,Spain,LaLiga,Atlético de Madrid,Monaco,Ligue 1,AS Monaco,0,2018,Attack
113,Duje Caleta-Car,Centre-Back,21,10000000,Austria,Bundesliga,Red Bull Salzburg,France,Ligue 1,Olympique Marseille,19000000,2018,Defense
114,Alireza Jahanbakhsh,Right Winger,24,18000000,Netherlands,Others,AZ Alkmaar,England,Premier League,Brighton & Hove Albion,19000000,2018,Attack
115,Diego Laxalt,Left-Back,25,18000000,Italy,Serie A,Genoa CFC,Italy,Serie A,AC Milan,19000000,2018,Defense
116,Karl Toko Ekambi,Left Winger,25,18000000,France,Ligue 1,Angers SCO,Spain,LaLiga,Villarreal CF,18000000,2018,Attack
117,Rui Patrício,Goalkeeper,30,16000000,Portugal,Others,Sporting CP,England,Premier League,Wolverhampton Wanderers,18000000,2018,Goalkeeper
118,Mohamed Elyounoussi,Left Winger,23,8000000,Switzerland,Others,FC Basel 1893,England,Premier League,Southampton FC,18000000,2018,Attack
119,Daley Blind,Left-Back,28,18000000,England,Premier League,Manchester United,Netherlands,Others,Ajax Amsterdam,16000000,2018,Defense
120,Xherdan Shaqiri,Attacking Midfield,26,18000000,England,Others,Stoke City,England,Premier League,Liverpool FC,14000000,2018,Midfield
121,Santiago Arias,Right-Back,26,18000000,Netherlands,Others,PSV Eindhoven,Spain,LaLiga,Atlético de Madrid,11000000,2018,Defense
122,Alban Lafont,Goalkeeper,19,18000000,France,Ligue 1,FC Toulouse,Italy,Serie A,ACF Fiorentina,8000000,2018,Goalkeeper
123,Salif Sané,Centre-Back,27,18000000,Germany,Bundesliga,Hannover 96,Germany,Bundesliga,FC Schalke 04,7000000,2018,Defense
124,Mousa Dembélé,Central Midfield,31,18000000,England,Premier League,Tottenham Hotspur,China,Others,Guangzhou R&F,5000000,2018,Midfield
125,Grzegorz Krychowiak,Defensive Midfield,28,18000000,France,Ligue 1,Paris Saint-Germain,Russia,Others,Lokomotiv Moscow,1000000,2018,Midfield
126,Islam Slimani,Centre-Forward,30,18000000,England,Premier League,Leicester City,Turkey,Others,Fenerbahce,1000000,2018,Attack
127,Mark Uth,Centre-Forward,26,18000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,FC Schalke 04,0,2018,Attack
128,Max Meyer,Attacking Midfield,22,18000000,Germany,Bundesliga,FC Schalke 04,England,Premier League,Crystal Palace,0,2018,Midfield
129,Yannick Bolasie,Left Winger,29,18000000,England,Premier League,Everton FC,England,Others,Aston Villa,0,2018,Attack
130,Victor Moses,Right Midfield,28,18000000,England,Premier League,Chelsea FC,Turkey,Others,Fenerbahce,0,2018,Midfield
131,Youri Tielemans,Central Midfield,21,18000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Leicester City,0,2018,Midfield
132,Joaquín Correa,Second Striker,23,10000000,Spain,LaLiga,Sevilla FC,Italy,Serie A,SS Lazio,17000000,2018,Attack
133,Justin Kluivert,Left Winger,19,15000000,Netherlands,Others,Ajax Amsterdam,Italy,Serie A,AS Roma,17000000,2018,Attack
134,Brahim Díaz,Attacking Midfield,19,5000000,England,Premier League,Manchester City,Spain,LaLiga,Real Madrid,17000000,2018,Midfield
135,Leander Dendoncker,Defensive Midfield,23,17000000,Belgium,Others,RSC Anderlecht,England,Premier League,Wolverhampton Wanderers,1000000,2018,Midfield
136,Ben Gibson,Centre-Back,25,10000000,England,Others,Middlesbrough FC,England,Premier League,Burnley FC,16000000,2018,Defense
137,Alfie Mawson,Centre-Back,24,15000000,Wales,Others,Swansea City,England,Premier League,Fulham FC,16000000,2018,Defense
138,Yves Bissouma,Central Midfield,21,8000000,France,Ligue 1,LOSC Lille,England,Premier League,Brighton & Hove Albion,16000000,2018,Midfield
139,Ahmed Musa,Right Winger,25,15000000,England,Premier League,Leicester City,Saudi Arabia,Others,Al-Nassr FC,16000000,2018,Attack
140,Nordi Mukiele,Right-Back,20,14000000,France,Ligue 1,Montpellier HSC,Germany,Bundesliga,RB Leipzig,16000000,2018,Defense
141,Sebastian Rudy,Defensive Midfield,28,15000000,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,FC Schalke 04,16000000,2018,Midfield
142,Mattia Perin,Goalkeeper,25,16000000,Italy,Serie A,Genoa CFC,Italy,Serie A,Juventus FC,14000000,2018,Goalkeeper
143,Jordan Amavi,Left-Back,24,16000000,England,Others,Aston Villa,France,Ligue 1,Olympique Marseille,10000000,2018,Defense
145,Bernard,Attacking Midfield,25,16000000,Ukraine,Others,Shakhtar Donetsk,England,Premier League,Everton FC,0,2018,Midfield
146,Leonardo Balerdi,Centre-Back,19,2000000,Argentina,Others,CA Boca Juniors,Germany,Bundesliga,Borussia Dortmund,15000000,2018,Defense
147,Grégoire Defrel,Centre-Forward,27,10000000,Italy,Serie A,US Sassuolo,Italy,Serie A,AS Roma,15000000,2018,Attack
148,João Carvalho,Attacking Midfield,21,2000000,Portugal,Others,SL Benfica,England,Others,Nottingham Forest,15000000,2018,Midfield
149,Matheus Cunha,Centre-Forward,19,1000000,Switzerland,Others,FC Sion,Germany,Bundesliga,RB Leipzig,15000000,2018,Attack
150,Mouctar Diakhaby,Centre-Back,21,10000000,France,Ligue 1,Olympique Lyon,Spain,LaLiga,Valencia CF,15000000,2018,Defense
151,Diego Rico,Left-Back,25,2000000,Spain,LaLiga,CD Leganés,England,Premier League,AFC Bournemouth,15000000,2018,Defense
152,Wilmar Barrios,Defensive Midfield,25,12000000,Argentina,Others,CA Boca Juniors,Russia,Others,Zenit St. Petersburg,15000000,2018,Midfield
153,Tetê,Right Winger,19,15000000,Brazil,Others,Grêmio Foot-Ball Porto Alegrense,Ukraine,Others,Shakhtar Donetsk,15000000,2018,Attack
154,Dusan Tadić,Left Winger,29,15000000,England,Premier League,Southampton FC,Netherlands,Others,Ajax Amsterdam,13000000,2018,Attack
155,Joris Gnagnon,Centre-Back,21,15000000,France,Ligue 1,Stade Rennais FC,Spain,LaLiga,Sevilla FC,13000000,2018,Defense
156,Davy Klaassen,Attacking Midfield,25,15000000,England,Premier League,Everton FC,Germany,Bundesliga,SV Werder Bremen,13000000,2018,Midfield
157,Jeison Murillo,Centre-Back,26,15000000,Italy,Serie A,Inter Milan,Spain,LaLiga,Valencia CF,12000000,2018,Defense
158,Nacer Chadli,Left Winger,29,15000000,England,Others,West Bromwich Albion,Monaco,Ligue 1,AS Monaco,12000000,2018,Attack
159,Medhi Benatia,Centre-Back,31,15000000,Italy,Serie A,Juventus FC,Qatar,Others,Al-Duhail SC,8000000,2018,Defense
160,Kurt Zouma,Centre-Back,23,15000000,England,Premier League,Chelsea FC,England,Premier League,Everton FC,7000000,2018,Defense
161,Marouane Fellaini,Central Midfield,31,15000000,England,Premier League,Manchester United,China,Others,Shandong Luneng Taishan,7000000,2018,Midfield
162,Daniel Wass,Right-Back,29,15000000,Spain,LaLiga,Celta de Vigo,Spain,LaLiga,Valencia CF,6000000,2018,Defense
163,Jonny Evans,Centre-Back,30,15000000,England,Others,West Bromwich Albion,England,Premier League,Leicester City,4000000,2018,Defense
164,Raúl Jiménez,Centre-Forward,27,15000000,Portugal,Others,SL Benfica,England,Premier League,Wolverhampton Wanderers,3000000,2018,Attack
165,André Gomes,Central Midfield,25,15000000,Spain,LaLiga,FC Barcelona,England,Premier League,Everton FC,2000000,2018,Midfield
166,Paco Alcácer,Centre-Forward,24,15000000,Spain,LaLiga,FC Barcelona,Germany,Bundesliga,Borussia Dortmund,2000000,2018,Attack
167,André Ayew,Left Winger,28,15000000,Wales,Others,Swansea City,Turkey,Others,Fenerbahce,1000000,2018,Attack
168,Jeison Murillo,Centre-Back,26,15000000,Spain,LaLiga,Valencia CF,Spain,LaLiga,FC Barcelona,1000000,2018,Defense
169,Marko Pjaca,Left Winger,23,15000000,Italy,Serie A,Juventus FC,Italy,Serie A,ACF Fiorentina,1000000,2018,Attack
170,Badou Ndiaye,Central Midfield,27,15000000,England,Others,Stoke City,Turkey,Others,Galatasaray,750000,2018,Midfield
171,Cédric Soares,Right-Back,27,15000000,England,Premier League,Southampton FC,Italy,Serie A,Inter Milan,500000,2018,Defense
172,André Schürrle,Left Winger,27,15000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Fulham FC,400000,2018,Attack
173,Jakub Jankto,Left Midfield,22,15000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,UC Sampdoria,0,2018,Midfield
174,Guido Carrillo,Centre-Forward,27,15000000,England,Premier League,Southampton FC,Spain,LaLiga,CD Leganés,0,2018,Attack
175,Milan Badelj,Defensive Midfield,29,15000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,SS Lazio,0,2018,Midfield
176,Theo Hernández,Left-Back,20,15000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,Real Sociedad,0,2018,Defense
177,Nathaniel Clyne,Right-Back,27,15000000,England,Premier League,Liverpool FC,England,Premier League,AFC Bournemouth,0,2018,Defense
178,Ricardo Goulart,Attacking Midfield,27,15000000,China,Others,Guangzhou Evergrande Taobao,Brazil,Others,Sociedade Esportiva Palmeiras,0,2018,Midfield
179,Wesley Hoedt,Centre-Back,24,15000000,England,Premier League,Southampton FC,Spain,LaLiga,Celta de Vigo,0,2018,Defense
180,Adrien Silva,Central Midfield,29,15000000,England,Premier League,Leicester City,Monaco,Ligue 1,AS Monaco,0,2018,Midfield
181,Yannick Bolasie,Left Winger,29,15000000,England,Premier League,Everton FC,Belgium,Others,RSC Anderlecht,0,2018,Attack
182,Roger Martínez,Left Winger,24,2000000,China,Others,Jiangsu Suning,Spain,LaLiga,Villarreal CF,14000000,2018,Attack
183,Rodolfo Pizarro,Attacking Midfield,24,5000000,Mexico,Others,Deportivo Guadalajara,Mexico,Others,CF Monterrey,14000000,2018,Midfield
184,Filip Benkovic,Centre-Back,21,11000000,Croatia,Others,GNK Dinamo Zagreb,England,Premier League,Leicester City,14000000,2018,Defense
185,Nikola Kalinic,Centre-Forward,30,14000000,Italy,Serie A,AC Milan,Spain,LaLiga,Atlético de Madrid,14000000,2018,Attack
186,Ibrahim Amadou,Defensive Midfield,25,3000000,France,Ligue 1,LOSC Lille,Spain,LaLiga,Sevilla FC,14000000,2018,Midfield
187,Diogo Jota,Left Winger,21,12000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Wolverhampton Wanderers,14000000,2018,Attack
188,Danny Ward,Goalkeeper,25,2000000,England,Premier League,Liverpool FC,England,Premier League,Leicester City,14000000,2018,Goalkeeper
189,Jean-Eudes Aholou,Defensive Midfield,24,3000000,France,Ligue 1,RC Strasbourg Alsace,Monaco,Ligue 1,AS Monaco,14000000,2018,Midfield
190,Alphonso Davies,Left-Back,18,10000000,Canada,Others,Vancouver Whitecaps FC,Germany,Bundesliga,Bayern Munich,14000000,2018,Defense
191,Rachid Ghezzal,Right Winger,26,4000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Leicester City,14000000,2018,Attack
192,Diego Lainez,Right Winger,18,1000000,Mexico,Others,CF América,Spain,LaLiga,Real Betis Balompié,14000000,2018,Attack
193,Maximiliano Meza,Right Winger,26,14000000,Argentina,Others,CA Independiente,Mexico,Others,CF Monterrey,13000000,2018,Attack
194,Gerard Deulofeu,Centre-Forward,24,14000000,Spain,LaLiga,FC Barcelona,England,Premier League,Watford FC,13000000,2018,Attack
195,Fedor Smolov,Centre-Forward,28,14000000,Russia,Others,FK Krasnodar,Russia,Others,Lokomotiv Moscow,9000000,2018,Attack
196,Kwadwo Asamoah,Left Midfield,29,14000000,Italy,Serie A,Juventus FC,Italy,Serie A,Inter Milan,0,2018,Midfield
197,Calum Chambers,Centre-Back,23,14000000,England,Premier League,Arsenal FC,England,Premier League,Fulham FC,0,2018,Defense
198,Chris Mepham,Centre-Back,21,8000000,England,Others,Brentford FC,England,Premier League,AFC Bournemouth,13000000,2018,Defense
199,Benik Afobe,Centre-Forward,25,10000000,England,Premier League,Wolverhampton Wanderers,England,Others,Stoke City,13000000,2018,Attack
